customer_tweet_id,customer_text,support_tweet_id,support_text
553485,@AppleSupport...DL’ed 11.2 on iPhone 8 Plus and X...but no Apple Cash Option in settings??? #help #whereisit,553484,"@249087 Hi there. We'd like to look into this more with you. DM us which country you're located in, and we'll go from there. https://t.co/GDrqU22YpT"
586958,"What the witch tits is going on with my iPhone @115858 ?!?! I updated it and now I can barely get a text out before it restarts!! Get it together!! 🤬
Attempt 6 to post*",586956,@258617 Thanks for reaching out! This certainly isn't the experience we want you to have with your iPhone. Can you see if you can give the steps in this article a shot: https://t.co/osZOKKTalm
1411736,@AppleSupport iPhone X order reservation not found. Spent 1.5 hours w/ 800-MY-APPLE. Unable to resolve. Deadline 3pm E.😟 No phone for me?,1411734,@448114 We'd like to help you reach our Sales Support team to get the best answer on this. You can online here: https://t.co/8yjRd1Xo0i
2837216,@AppleSupport hello I have recently bought the iPhone c and my battery life was great then after a few days with the new updates my battery seems to be draining a lot faster how can I fix this,2837215,@789669 Hey there! We're glad you reached out about your battery issues. We received your DM and would be happy to assist from there.
1005022,"@AppleSupport My phone keeps restarting by it self. Don't even try and tell me to go into settings right now because I can't, I can't access my phone. Sos.",1005020,@357875 We're glad you are reaching out to us. Let's start by finding out what is showing on the iPhone display when it's restarting? A spinning gear or the Apple logo?
2774303,"@AppleSupport hi there, I got a problem with the iPhone SE. It doesn't let the ringtone ring on the (cont) https://t.co/LUUzaDy85h",2774301,"@775342 Hello, we'd be happy to help you get to the bottom of this. Are you meaning that your iPhone isn't ringing when using CarPlay? Can you tell us which version of iOS you're using? Here's how to find it: https://t.co/ZTw54HL4Rm"
372204,Smh @AppleSupport step up your game 👏🏼👏🏼👏🏼 https://t.co/7SgvI9uCSj,372202,"@204179 We're here for you.  Which specific iOS version and iPhone are you using, please?"
1851705,@AppleSupport That is a bad sign right ?... (updated from 10.3.3 to 11.0.3 on ipad air 2) https://t.co/UOubMxcdHF,1851704,"@142299 Thanks so much for reaching out. So we can provide you with the best steps, can you DM us more information on this issue? https://t.co/GDrqU2kzhr"
1692551,"Hey @115858 @AppleSupport fix this “I️” issue, would ya? https://t.co/3fyk3JmwOD",1692550,@513696 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1033264,@AppleSupport Yes updated the latest version.but still the same,1033265,@364465 Tap Settings &gt; Do Not Disturb. Is this on? Send your response in a DM. https://t.co/GDrqU22YpT
2033138,"So tired of my phone malfunctioning, @AppleSupport.",2033137,@601191 We'd love to help with your iPhone. Can you DM us the version of iOS running and what's happening exactly? https://t.co/GDrqU22YpT
1840865,"It's crazy how I haven't had an iPhone charger last more than month, 
Do better @115858",1840864,@551687 Accessories that came with the phone have the same warranty. Please DM your iOS version so we can review your support options. https://t.co/GDrqU22YpT
2112854,@115858 error notificaciones en @4305 cuando alguien escribe a veces muestra otras no @119459,2112853,@516701 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
